RECORD_ID,SOURCE_TYPE,SOURCE_ID,COMPANY_NAME,NAICS_CD,SIC_CODE,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,ZIP_CODE,ZIP4,COUNTRY_CODE,ADDRESS_VALID_IND,ADDRESS_LOCATION_TYPE,ADDRESS_MARKETABLE_IND,ADDRESS_FAULT_CODE,RESIDENTIAL_DELIVERY_IND,EMAIL_ADDRESS,EMAIL_MARKETABLE_IND,EMAIL_UPDATE_DT,PHONE_NUMBER,PHONE_TYPE,PHONE_EXTENSION,PHONE_VALID_IND,PHONE_MARKETABLE_IND,PHONE_UPDATE_DT,ADDRESS_UPDATE_DT,Record ID,Company Name,Address 1,phone number,naics code,duns number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00015,Stellar Systems,,396-919-9373,423440,
,,,,,,,,Fort Worth,TX,76101,,,,,,,,,,,,,,,,,,REC00016,Eastern Distributors,5384 Park Way,277-363-2100,238210,57-983-5254
,,,,,,,,Los Angeles,CA,90001,,,,,,,,,,,,,,,,,,REC00017,Apex Manufacturing,2702 Tech Park Blvd,000-000-0000,541519,62-167-6137
,,,,,,,,San Jose,CA,95101,1093,,,,,,,,,,,,,,,,,REC00018,Sigma Corp,508 Commerce Dr,510-540-2161,541330,26-272-4078
,,,,,,,,Fort Worth,TX,76101,3835,,,,,,,,,,,,,,,,,REC00019,Zeta Enterprises,7149 Main St,525-771-3491,541330,
,,,,,,,,San Antonio,TX,78201,,,,,,,,,,,,,,,,,,REC00020,Mountain View Tech,9291 Elm Blvd,255-809-8878,236220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00021,Mountain View Tech,,INVALID,423430,
,,,,,,,Unit 5B,Boston,MA,02101,,,,,,,,,,,,,,,,,,REC00022,Sigma Corp #78,5552 Elm Blvd,292-727-1185,,
,,,,,,,Suite 200,Boston,MA,02101,9358,,,,,,,,,,,,,,,,,REC00023,Pinnacle Industries #74,4747 Corporate Way,338-369-7834,236220,95-813-4528
,,,,,,,,San Antonio,TX,78201,,,,,,,,,,,,,,,,,,REC00024,Summit Enterprises #95,5261 Maple Dr,N/A,541512,14-451-7443
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00025,Theta Group,,788-844-3653,517311,31-600-5186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00026,Omega Systems,,529-852-5338,423430,
,,,,,,,,New York,NY,10001,3214,,,,,,,,,,,,,,,,,REC00027,Gamma Holdings,6731 Business Center Dr,629-703-5364,541511,78-714-9656
,,,,,,,,Austin,TX,78701,,,,,,,,,,,,,,,,,,REC00028,Beta Technologies,5467 Pine Rd,323-331-8101,,
,,,,,,,Unit A,Seattle,WA,98101,9116,,,,,,,,,,,,,,,,,REC00029,Vertex Partners,6429 Tech Park Blvd,641-939-5217,,
,,,,,,,,Boston,MA,02101,1936,,,,,,,,,,,,,,,,,REC00030,Summit Enterprises,9812 Cedar Ln,410-580-4974,541330,
,,,,,,,,New York,NY,10001,,,,,,,,,,,,,,,,,,REC00031,Theta Group,175 Industrial Pkwy,377-602-5365,517311,50-779-3261
,,,,,,,,San Diego,CA,92101,3010,,,,,,,,,,,,,,,,,REC00032,Northern Supply Co,4636 Elm Blvd,318-757-2471,,74-368-1624
,,,,,,,,Phoenix,AZ,85001,,,,,,,,,,,,,,,,,,REC00033,Metro Business Solutions #66,7979 Cedar Ln,,,
,,,,,,,Floor 3,Boston,MA,02101,,,,,,,,,,,,,,,,,,REC00034,Delta Services,4064 Elm Blvd,,541611,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00035,Zeta Enterprises,,314-347-9124,517311,68-354-9494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00036,Fusion Technologies,,319-900-4808,,39-371-4585
,,,,,,,,Chicago,IL,60601,,,,,,,,,,,,,,,,,,REC00037,Epsilon LLC #41,5052 Park Way,290-124-6466,,30-439-1917
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00038,Zeta Enterprises #7,TBD,679-868-8315,334118,
,,,,,,,,Austin,TX,78701,8068,,,,,,,,,,,,,,,,,REC00039,Zeta Enterprises #35,7277 Cedar Ln,437-659-8663,518210,32-298-8795
,,,,,,,,Atlanta,GA,30301,2952,,,,,,,,,,,,,,,,,REC00040,Sigma Corp,5445 Corporate Way,542-142-1558,238210,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00041,Catalyst Corp,,305-656-4184,,39-957-7758
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00042,Metro Business Solutions,,761-931-3899,541330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00043,Beta Technologies,XXXX Unknown Ave,275-258-4204,334118,
,,,,,,,,Atlanta,GA,30301,,,,,,,,,,,,,,,,,,REC00044,Stellar Systems #94,3921 Elm Blvd,799-758-8324,541511,98-347-8816
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00045,Coastal Services,,123456,238210,35-135-1489
,,,,,,,,Boston,MA,02101,,,,,,,,,,,,,,,,,,REC00046,Mountain View Tech #48,9651 Commerce Dr,877-811-4779,334111,94-106-3504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00047,Midwest Manufacturing #93,,772-771-3446,334111,
,,,,,,,Room 205,Los Angeles,CA,90001,,,,,,,,,,,,,,,,,,REC00048,Zeta Enterprises,5771 Corporate Way,,518210,79-287-1239
,,,,,,,,San Antonio,TX,78201,1837,,,,,,,,,,,,,,,,,REC00049,Pioneer Holdings #3,1858 Park Way,,,78-439-9975
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00050,Midwest Manufacturing #86,Test Address 123,599-926-4308,541330,16-781-7315
,,,,,,,,Seattle,WA,98101,5556,,,,,,,,,,,,,,,,,REC00051,Pinnacle Industries #7,2704 Cedar Ln,506-148-1717,541611,58-534-6085
,,,,,,,,Dallas,TX,75201,,,,,,,,,,,,,,,,,,REC00052,Tech Solutions Inc,758 Cedar Ln,270-124-8373,334111,32-642-6139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00053,Catalyst Corp,Test Address 123,674-320-1555,334111,44-775-9891
,,,,,,,,Atlanta,GA,30301,,,,,,,,,,,,,,,,,,REC00054,Tech Solutions Inc,1517 Business Center Dr,,423430,22-468-1150
,,,,,,,,Seattle,WA,98101,2338,,,,,,,,,,,,,,,,,REC00055,Omega Systems,2048 Cedar Ln,,,
,,,,,,,,San Antonio,TX,78201,5832,,,,,,,,,,,,,,,,,REC00056,Northern Supply Co,6617 Oak Ave,,334118,97-128-4568
,,,,,,,,Phoenix,AZ,85001,,,,,,,,,,,,,,,,,,REC00057,Tech Solutions Inc #25,6625 Business Center Dr,964-750-2500,,
,,,,,,,,Denver,CO,80201,,,,,,,,,,,,,,,,,,REC00058,Catalyst Corp,5838 Cedar Ln,391-625-9310,236220,
,,,,,,,,Seattle,WA,98101,4682,,,,,,,,,,,,,,,,,REC00059,Zeta Enterprises,1765 Park Way,,541519,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00060,Mountain View Tech #41,,509-960-2643,541519,84-644-1865
,,,,,,,,San Antonio,TX,78201,3840,,,,,,,,,,,,,,,,,REC00061,Global Industries LLC,3608 Cedar Ln,111-111-1111,236220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00062,Stellar Systems,,345-687-9614,541611,96-303-5994
,,,,,,,Room 205,Columbus,OH,43201,7145,,,,,,,,,,,,,,,,,REC00063,Tech Solutions Inc #92,2164 Oak Ave,849-470-3941,,
,,,,,,,,San Diego,CA,92101,1790,,,,,,,,,,,,,,,,,REC00064,Pinnacle Industries,7951 Park Way,752-551-1787,334118,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00065,Coastal Services #22,,367-467-8112,238210,
,,,,,,,,San Diego,CA,92101,2818,,,,,,,,,,,,,,,,,REC00066,Beta Technologies,5948 Maple Dr,512-652-7085,,81-702-8714
,,,,,,,,Portland,OR,97201,8856,,,,,,,,,,,,,,,,,REC00067,Nexus Solutions #31,7757 Maple Dr,,423430,94-931-8057
,,,,,,,Room 205,Los Angeles,CA,90001,3798,,,,,,,,,,,,,,,,,REC00068,Pinnacle Industries,287 Maple Dr,855-210-6963,541511,52-410-9460
,,,,,,,,San Diego,CA,92101,5166,,,,,,,,,,,,,,,,,REC00069,Catalyst Corp,749 Oak Ave,269-664-8443,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00070,Coastal Services,,306-724-7339,541512,
,,,,,,,,San Antonio,TX,78201,8133,,,,,,,,,,,,,,,,,REC00071,Pacific Trading Co #14,3462 Oak Ave,601-202-2011,541613,13-933-6284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00072,Pioneer Holdings,,800-954-8321,541611,46-347-2747
,,,,,,,,Miami,FL,33101,,,,,,,,,,,,,,,,,,REC00073,Pinnacle Industries,8536 Park Way,,,74-451-3284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00074,Nexus Solutions,,454-286-4919,541330,71-909-3907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00075,Catalyst Corp,,327-507-8525,541519,87-174-2554
,,,,,,,,Chicago,IL,60601,,,,,,,,,,,,,,,,,,REC00076,Gamma Holdings,2350 Park Way,278-597-1414,423430,95-560-6184
,,,,,,,,Miami,FL,33101,3888,,,,,,,,,,,,,,,,,REC00077,Metro Business Solutions #74,955 Commerce Dr,,541511,87-438-6629
,,,,,,,,Columbus,OH,43201,8591,,,,,,,,,,,,,,,,,REC00078,Pioneer Holdings #16,5821 Elm Blvd,895-555-7793,,
,,,,,,,,Phoenix,AZ,85001,,,,,,,,,,,,,,,,,,REC00079,Gamma Holdings,5044 Corporate Way,982-269-1907,518210,51-737-9942
,,,,,,,,New York,NY,10001,3427,,,,,,,,,,,,,,,,,REC00080,Midwest Manufacturing,6308 Cedar Ln,913-680-5652,,39-242-5607
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00081,Sigma Corp #34,,849-999-7710,,52-415-8140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00082,Epsilon LLC,,367-700-7841,423440,
,,,,,,,,Chicago,IL,60601,,,,,,,,,,,,,,,,,,REC00083,Theta Group,7267 Elm Blvd,347-803-6096,,93-311-2863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00084,Sigma Corp #41,,473-725-9705,334118,
,,,,,,,,Seattle,WA,98101,,,,,,,,,,,,,,,,,,REC00085,Catalyst Corp,5536 Tech Park Blvd,705-335-6250,423440,85-465-2906
,,,,,,,,San Antonio,TX,78201,,,,,,,,,,,,,,,,,,REC00086,Pacific Trading Co,1120 Park Way,,,
,,,,,,,,Phoenix,AZ,85001,,,,,,,,,,,,,,,,,,REC00087,Summit Enterprises,7332 Industrial Pkwy,457-258-6644,,81-770-5534
,,,,,,,,Columbus,OH,43201,,,,,,,,,,,,,,,,,,REC00088,Catalyst Corp #75,4405 Tech Park Blvd,,517311,
,,,,,,,,Portland,OR,97201,,,,,,,,,,,,,,,,,,REC00089,Pioneer Holdings,3767 Oak Ave,655-929-6309,,51-841-2232
,,,,,,,Office 101,Atlanta,GA,30301,,,,,,,,,,,,,,,,,,REC00090,Sigma Corp,5232 Elm Blvd,513-441-6180,238210,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00091,Vertex Partners #3,000 Nowhere Blvd,,334111,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00092,Summit Enterprises #6,,504-700-1262,334111,69-470-7829
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00093,Epsilon LLC #2,,686-405-6703,541512,
,,,,,,,,Denver,CO,80201,8079,,,,,,,,,,,,,,,,,REC00094,Metro Business Solutions,8613 Oak Ave,880-262-7103,423430,41-556-7557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00095,Vertex Partners,,966-989-5448,423430,83-439-3607
,,,,,,,Floor 3,Phoenix,AZ,85001,9944,,,,,,,,,,,,,,,,,REC00096,Fusion Technologies #7,7252 Cedar Ln,111-111-1111,541512,40-392-2199
,,,,,,,Room 205,Miami,FL,33101,6487,,,,,,,,,,,,,,,,,REC00097,Beta Technologies,3404 Pine Rd,449-999-4572,236220,34-165-4849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00098,Nexus Solutions #87,PO Box 0000,,541330,86-438-5942
,,,,,,,,San Jose,CA,95101,,,,,,,,,,,,,,,,,,REC00099,Coastal Services #58,9086 Elm Blvd,,,
,,,,,,,,Boston,MA,02101,,,,,,,,,,,,,,,,,,REC00100,Northern Supply Co,9415 Business Center Dr,,541511,45-726-3983
